Abnormality of the breast	HP:0000769
Abnormal ulnar styloid process morphology	None
Spurred wide portion of upper limb bone	None
Spurred metaphyses of the upper limbs	None
Fused bones of the midfoot	None
Tarsometatarsal synostosis	None
Sclerosis of 4th toe phalanx	None
Increased bone density in 4th toe bone	None
Sclerosis of the phalanges of the 4th toe	None
Humeral sclerosis	None
Increased bone density in long bone of upper arm	None
Sclerosis of humerus	None
Prominent life line	None
Prominent palmar flexion creases	None
Absent epiphyses of the 5th toe	None
Absent end part of the pinky toe bone	None
Absent end part of the pinkie toe bone	None
Absent end part of the little toe bone	None
Wasting of quad muscles	None
Quadriceps muscle atrophy	None
Areflexia of brachioradialis	None
Brachioradialis areflexia	None
Uneven increase in bone density in the innermost thumb bone	None
Patchy sclerosis of the proximal phalanx of the thumb	None
Contracture of the distal interphalangeal joint of the 5th finger	None
Joint contractures of the fourth finger	None
Joint contracture of the 4th finger	None
partial duplication of the first metacarpal	None
Notched first long bone of hand	None
Bifid first metacarpal	None
Abnormality of the elbow	None
Abnormality of the elbows	None
Uneven increase in bone density in innermost finger bone	None
Patchy sclerosis of proximal phalanx of finger	None
Patchy sclerosis of the proximal phalanges of the hand	None
Absent/underdeveloped bones of 2nd toe	None
Aplasia/Hypoplasia of the phalanges of the 2nd toe	None
Absent/small bones of 2nd toe	None
Stippling of the epiphysis of the proximal phalanx of the 2nd toe	None
Speckled calcifications in the end part of the innermost bone of the 2nd toe	None
Curved middle phalanx of the 4th finger	None
Curved middle ring finger bone	None
Broad proximal phalanx of the 2nd toe	None
Broad innermost bone of 2nd toe	None
Abnormality of the fingertips	None
Abnormal fingertip morphology	None
Diaphyseal dysplasia	None
Abnormality of the os naviculare pedis	None
Opposable triphalangeal thumb	None
Small epiphysis of the distal phalanx of the hallux	None
Small end part of the outermost bone of the big toe	None
Clubbing (hands)	None
Finger clubbing	None
Clubbing of fingers	None
Clubbed fingers	None
Broad phalanges	None
Broad phalanx	None
Widened phalanges	None
Wide digital bones	None
Wide phalanges	None
Small distal phalanx of big toe	None
Hypoplastic/small distal phalanx of the hallux	None
Small outermost bone of big toe	None
Small distal phalanx of hallux	None
Short distal phalanx of hallux	None
Broad little toe	None
Broad pinkie toe	None
Broad pinky toe	None
Broad 5th toe	None
Abnormal morphology of the proximal phalanx of the 3rd toe	None
Abnormality of the innermost bone of 3rd toe	None
Complete duplication of the proximal phalanges of the hand	None
Complete duplication of the innermost bones of the hand	None
Limb-girdle muscle atrophy	None
Limb-girdle myopathy	None
Wasting of limb-girdle muscle	None
Abnormality of the epiphyses of the elbow	None
Abnormality of end part of the elbow bone	None
bone epiphysis of femur	None
Fractured epiphysis of femur	None
Abnormality of upper limb joint	None
Abnormality of the joints of the upper limbs	None
Irregular end part of the innermost hand bones	None
Irregular epiphyses of the proximal phalanges of the hand	None
Fused wrist bones and long bones of hand	None
Carpometacarpal synostosis	None
Curved distal phalanx of the hallux	None
Curved outermost bone of big toe	None
Cone-shaped epiphyses of the proximal phalanges of the hand	None
Cone-shaped end part of the innermost hand bones	None
Fractured middle phalanx of manual digit 2	None
bone middle phalanx of manual digit 2	None
Osteolytic defects of the proximal phalanges of the toes	None
Osteolytic defect of the proximal toe phalanx	None
Tibial deviation of the 2nd toe	None
Abnormal hand cortical bone morphology	None
Abnormality of the cortex of hand bones	None
Abnormality of hand cortical bone	None
Increased wrinkles of palms and soles	None
Wrinkled skin of hands and feet	None
Palmoplantar cutis laxa	None
Furrowed palms and soles	None
Wrinkled palms and soles	None
Excessive wrinkled skin of palms and soles	None
Abnormality of calf musculature	None
Abnormal calf muscles	None
Abnormality of the calf musculature	None
Short shinbone	None
Hypoplastic tibia	None
Short skankbone	None
Short tibiae	None
Hypoplasia of the tibia	None
Shortening of the shankbone	None
Shortening of the tibia	None
Short tibia	None
Shortening of the shinbone	None
Asymmetric radial dysplasia	None
Wide innermost wide portion of shinbone bone	None
Widened proximal tibial metaphyses	None
Wide innermost wide portion of shankbone bone	None
Small end part of the outermost bone of the pinkie toe	None
Small epiphysis of the distal phalanx of the 5th toe	None
Small end part of the outermost bone of the little toe	None
Small end part of the outermost bone of the pinky toe	None
Aplasia of the 3rd finger	None
Absent middle finger	None
Bilateral postaxial polydactyly	None
Synostosis involving metacarpal bones	None
Metacarpal synostosis	None
Fused long bones of hand	None
Synostosis involving the metacarpal bones	None
Abnormality of dorsoventral patterning of the limbs	None
Partial duplication of 2nd toe bone	None
Partial duplication of phalanx of the 2nd toe	None
Complete duplication of the innermost bone of big toe	None
Complete duplication of the proximal phalanx of the hallux	None
Hypoplasia of the lower limbs	None
Hypoplasia involving bones of the lower limbs	None
Underdeveloped lower limb bones	None
Lower limb undergrowth	None
Abnormality of bone mineral density involving tarsal bones	None
Abnormal tarsal bone mineral density	None
Triangular epiphysis of the proximal phalanx of the 4th toe	None
Triangular end part of the innermost bone of the 4th toe	None
Abnormality of upper limb metaphysis	None
Abnormal upper limb metaphysis morphology	None
Abnormality of the wide portion of upper limb bone	None
Metaphyseal abnormality of the upper limbs	None
Irregular end part of the pinkie toe bone	None
Irregular end part of the little toe bone	None
Irregular end part of the pinky toe bone	None
Irregular epiphyses of the 5th toe	None
Fifth finger single interphalangeal crease	None
Single interphalangeal crease of fifth finger	None
Bladder incontinence	None
Loss of bladder control	None
Urinary incontinence	None
Premature sudden cardiac death	None
Sudden cardiac death	None
Sudden death	None
Upset stomach	None
Pain in stomach	None
Stomach pain	None
Gastrointestinal pain	None
Abdominal pain	None
Abdominal discomfort	None
Gastro pain	None
Episodic abdominal pain	None
Intermittent abdominal pain	None
Anal incontinence	None
Faecal incontinence	None
Fecal incontinence	None
Loss of bowel control	None
Bowel incontinence	None
Bone pain	None
Joint pain	None
Arthralgias	None
Joint pains	None
Arthritic pain	None
Arthralgia	None
Muscle ache	None
Myalgia	None
Myalgias	None
Muscle pain	None
Back pain	None
Low back pain	None
Lower back pain	None
Low exercise endurance	None
Exercise intolerance	None
Decreased ability to exercise	None
Inability to exercise	None
Poor exercise tolerance	None
Exercise-induced muscle pain	None
Muscle pain, exercise-induced	None
Exercise-induced myalgia	None
Muscle pain on exercise	None
Muscle pain with exercise	None
Joint pain/Joint inflammation	None
Arthralgia/arthritis	None
Costochondral pain	None
Costochondral junction pain	None
Pain in extremities	None
Limb pain	None
Stress urinary incontinence	None
Abdominal colic	None
Sciatica	None
Occipital neuralgia	None
Tired	None
Tiredness	None
Fatigue	None
Episodic fatigue	None
Chronic fatigue	None
Chronic extreme exhaustion	None
Upper limb pain	None
Leg pain	None
Lower limb pain	None
Pain	None
Long-lasting pain	None
Chronic pain	None
Allodynia	None
Sneeze	None
Paroxysmal sneezing	None
Constitutional symptom	None
Chills	None
Shuddering	None
Shivering	None
Rigours	None
Rigors	None
Foot pain	None
Weakness	None
Lack of energy and strength	None
Asthenia	None
Prostration	None
Scrotal pain	None
Flank pain	None
Kidney pain	None
Night sweats	None
Nocturnal hyperhidrosis	None
Ear pain	None
Pain in the ear	None
Otalgia	None
Painful tongue	None
Tongue pain	None
Neck pain	None
Shoulder pain	None
Elbow pain	None
Wrist pain	None
Finger pain	None
Hip pain	None
Knee pain	None
Pain under knee cap	None
Ankle pain	None
Toe pain	None
Eye movement-induced pain	None
Vulvar pain	None
Vulvodynia	None
Exercise-induced malaise	None
Postexertional symptom exacerbation	None
Postexertional malaise	None
Impairment of activities of daily living	None
Impaired ability to bathe oneself	None
Impaired ability to dress oneself	None
Impaired toileting ability	None
Impaired transferring ability	None
Impaired feeding ability	None
Impaired continence	None
Hot flashes	None
Chest tightness	None
Tightness in chest	None
Tightness of chest	None
Chest distress	None
Groin pain	None
Calf muscle pain	None
Gastrocnemius myalgia	None
Calf myalgia	None
Wilson sign	None
Precordial pain	None
Fetor hepaticus	None
Foetor hepaticus	None
Erythromelalgia	None
Episodic pain	None
Breakthrough pain	None
Paroxysmal rectal pain	None
Abdominal cramps	None
Bladder pain	None
Tendon pain	None
Rigid abdomen	None
Abdominal rigidity	None
Abdominal guarding	None
Body ache	None
Throat discomfort	None
Throat pain	None
Sore throat	None
Pharyngalgia	None
Pharyngodynia	None
Cognitive fatigue	None
Central fatigue	None
Sudden unexpected death in epilepsy	None
SUDEP	None
Neuralgia	None
Acute abdomen	None
Acute abdominal pain	None
Diminished health-related quality of life	None
Decline in physical functional health	None
Diminished physical health	None
Diminished physical functioning	None
Mental impairment	None
Reduced mental health	None
Diminished mental health	None
Frailty	None
Occupational disability	None
Pain between shoulder blades	None
Intrascapular pain	None
Pleuritic chest pain	None
Malaise	None
Pain in testicles	None
Testicular pain	None
Cool skin	None
Coolness to palpation	None
Cold skin temperature	None
Cool skin temperature	None
Coldness	None
Painful breast	None
Mastalgia	None
Breast pain	None
Pain in the pelvis	None
Pelvic pain	None
Stool holding	None
Encopresis	None
Stool soiling	None
Jaw pain	None
Hand pain	None
Pain in head and neck region	None
Recurrent synchronous diaphragmatic flutter	None
Recurrent hiccough	None
Recurrent singultus	None
Hiccup	None
Hiccups	None
Recurrent hiccup	None
Tic douloureux	None
Trigeminal neuralgia	None
Chest discomfort	None
Thoracic pain	None
Chest pain	None
Gangrene	None
Death of body tissue due to lack of blood flow or infection	None
Foetor ex ore	None
Bad breath	None
Halitosis	None
Mandibular pain	None
Lower jaw pain	None
Eye pain	None
Ocular pain	None
Epigastric pain	None
Epigastrium pain	None
Fishy odor	None
Fish odour	None
Fishy body odor	None
Fishy odour	None
Fish odor	None
Fishy body odour	None
Musty odour	None
Musty odor	None
Vaginal fish odor	None
Vaginal fish odour	None
Dyspepsia	None
Indigestion	None
BO	None
Body odour	None
Osmidrosis	None
Body odor	None
Bromhidrosis	None
Bromidrosis	None
Anal pain	None
Rectal pain	None
Abnormality of body height	None
Tall stature	None
Increased body height	None
Accelerated linear growth	None
Increased linear growth	None
Delayed puberty	None
Delayed pubertal development	None
Pubertal delay	None
Delayed pubertal growth	None
Pituitary dwarfism	None
Growth issue	None
Abnormal growth	None
Growth abnormality	None
Poor weight gain	None
Undergrowth	None
Failure to thrive	None
Postnatal failure to thrive	None
Faltering weight	None
Weight faltering	None
Retarded growth	None
Growth delay	None
Growth failure	None
Poor growth	None
Growth retardation	None
Growth deficiency	None
Very poor growth	None
Delayed growth	None
Intrauterine retardation	None
Prenatal growth deficiency	None
Prenatal growth retardation	None
Intrauterine growth failure	None
Intrauterine growth restriction	None
IUGR	None
Prenatal onset growth retardation	None
Small for gestational age infant	None
Prenatal-onset growth retardation	None
Intrauterine growth retardation, IUGR	None
Intrauterine growth retardation	None
In utero growth retardation	None
Prenatal growth failure	None
Having too much body fat	None
Obesity	None
Low birth weight	None
Small for gestational age	None
Birth weight less than 10th percentile	None
Marfanoid habitus	None
Reduced upper-lower segment ratio	None
Disproportionate tall stature	None
Dolichostenomelia	None
Marfanoid body habitus	None
Birth weight > 90th percentile	None
Large for gestational age	None
Macrosomia	None
Foetal macrosomia	None
Birthweight > 90th percentile	None
Macrosomia, neonatal	None
Fetal macrosomia	None
Severe postnatal failure to thrive	None
Severe weight faltering	None
Marked failure to thrive	None
Severe failure to thrive	None
Severe faltering weight	None
Asymmetric overgrowth	None
Asymmetric limb hypertrophy	None
Hemihypertrophy	None
Mild growth deficiency	None
Postnatal onset of mild growth retardation	None
Mild postnatal growth retardation	None
