Pneumomediastinum	HP:0025421
Delayed maturation of the end part of the elbow bone	None
Irregular olecranon	None
Abnormality of the innermost bone of the pinky toe	None
Abnormality of the innermost bone of the little toe	None
Abnormal morphology of the proximal phalanx of the 5th toe	None
Abnormality of the innermost bone of the pinkie toe	None
Lytic defects of the humerus	None
Humeral lytic defects	None
Medially flattened radial epiphyses	None
Complete duplication of the middle bone of the pinky toe	None
Complete duplication of the middle phalanx of the 5th toe	None
Complete duplication of the middle bone of the little toe	None
Complete duplication of the middle bone of the pinkie toe	None
Complete duplication of the middle phalanx of the fifth toe	None
Curved distal phalanx of the 3rd finger	None
Curved outermost bone of the 3rd finger	None
Metatarsus valgus	None
Duplication of phalanx of toe	None
Partial/complete duplication of the phalanges of the toes	None
Duplicated toe bone	None
Triangular index finger phalanges	None
Triangular shaped phalanges of the 2nd finger	None
Triangular bones of index finger	None
Decreased space in hinge joint	None
Reduced proximal interphalangeal joint space	None
Unusual dermatoglyphics	None
Abnormality of limb bone morphology	None
Abnormal shape of limb bone	None
Limb abnormality	None
Arm and/or leg bone differences	None
Osteolytic defects of the phalanges of the 4th toe	None
Radial deviation of finger	None
Radially deviated fingers	None
Radially deviated phalanges	None
Edema of the upper limbs	None
Fluid accumulation in upper limbs	None
Oedema of the upper limbs	None
Broad shaft of long bone	None
Wide shaft of long bone	None
Broad long bone diaphyses	None
Speckled calcifications in the end part of the outermost bone of the 2nd toe	None
Stippling of the epiphysis of the distal phalanx of the 2nd toe	None
Fused wrist bones and long bones of hand	None
Carpometacarpal synostosis	None
Fused innermost bone of index finger with 2nd long bone of hand	None
Symphalangism of the proximal phalanx of the 2nd finger with the 2nd metacarpal	None
Decreased femoral torsion	None
Externally rotated hips	None
Femoral retroversion	None
Claw hand deformity	None
Knee joint over-flexibility	None
Knee joint hypermobility	None
Pseudoepiphysis of the middle phalanx of the 4th toe	None
Absent/underdeveloped forearm bones	None
Absent/small forearm bones	None
Aplasia/hypoplasia involving forearm bones	None
Fractured middle phalanx of pes	None
bone middle phalanx of pes	None
Preaxial polydactyly of feet	None
Partial/complete duplication of the phalanges of the big toe	None
Preaxial foot polydactyly	None
Polydactyly affecting the hallux	None
Preaxial polydactyly of the feet	None
Preaxial polydactyly, feet	None
Preaxial polydactyly of foot	None
Preaxial hallucal polydactyly	None
Limited wrist movement	None
Limited movement of the wrist	None
Ivory epiphysis of the proximal phalanx of the 3rd toe	None
Increased bone density of end part of the innermost bone of the 3rd toe	None
Fused innermost bone of index finger	None
Symphalangism affecting the proximal phalanx of the 2nd finger	None
Aplasia of the fingers	None
Absent fingers	None
Ivory epiphysis of the middle phalanx of the 2nd toe	None
Increased bone density of end part of the middle bone of the 2nd toe	None
Stubby fingers	None
Hypoplastic fingers	None
Short finger	None
Hypoplastic/small fingers	None
Stubby finger	None
Hypoplastic digits	None
Irregular epiphyses of the middle phalanges of the hand	None
Irregular end part of middle hand bones	None
Equinovalgus deformity	None
Talipes equinovalgus	None
Abnormality of the femoral neck	None
Abnormal femoral neck morphology	None
Abnormal neck of thigh bone	None
Overlapping toe	None
Overriding toes	None
Crossover toe	None
Overlapping toes	None
Bladder incontinence	None
Loss of bladder control	None
Urinary incontinence	None
Premature sudden cardiac death	None
Sudden cardiac death	None
Sudden death	None
Upset stomach	None
Pain in stomach	None
Stomach pain	None
Gastrointestinal pain	None
Abdominal pain	None
Abdominal discomfort	None
Gastro pain	None
Episodic abdominal pain	None
Intermittent abdominal pain	None
Anal incontinence	None
Faecal incontinence	None
Fecal incontinence	None
Loss of bowel control	None
Bowel incontinence	None
Bone pain	None
Joint pain	None
Arthralgias	None
Joint pains	None
Arthritic pain	None
Arthralgia	None
Muscle ache	None
Myalgia	None
Myalgias	None
Muscle pain	None
Back pain	None
Low back pain	None
Lower back pain	None
Low exercise endurance	None
Exercise intolerance	None
Decreased ability to exercise	None
Inability to exercise	None
Poor exercise tolerance	None
Exercise-induced muscle pain	None
Muscle pain, exercise-induced	None
Exercise-induced myalgia	None
Muscle pain on exercise	None
Muscle pain with exercise	None
Joint pain/Joint inflammation	None
Arthralgia/arthritis	None
Costochondral pain	None
Costochondral junction pain	None
Pain in extremities	None
Limb pain	None
Stress urinary incontinence	None
Abdominal colic	None
Sciatica	None
Occipital neuralgia	None
Tired	None
Tiredness	None
Fatigue	None
Episodic fatigue	None
Chronic fatigue	None
Chronic extreme exhaustion	None
Upper limb pain	None
Leg pain	None
Lower limb pain	None
Pain	None
Long-lasting pain	None
Chronic pain	None
Allodynia	None
Sneeze	None
Paroxysmal sneezing	None
Constitutional symptom	None
Chills	None
Shuddering	None
Shivering	None
Rigours	None
Rigors	None
Foot pain	None
Weakness	None
Lack of energy and strength	None
Asthenia	None
Prostration	None
Scrotal pain	None
Flank pain	None
Kidney pain	None
Night sweats	None
Nocturnal hyperhidrosis	None
Ear pain	None
Pain in the ear	None
Otalgia	None
Painful tongue	None
Tongue pain	None
Neck pain	None
Shoulder pain	None
Elbow pain	None
Wrist pain	None
Finger pain	None
Hip pain	None
Knee pain	None
Pain under knee cap	None
Ankle pain	None
Toe pain	None
Eye movement-induced pain	None
Vulvar pain	None
Vulvodynia	None
Exercise-induced malaise	None
Postexertional symptom exacerbation	None
Postexertional malaise	None
Impairment of activities of daily living	None
Impaired ability to bathe oneself	None
Impaired ability to dress oneself	None
Impaired toileting ability	None
Impaired transferring ability	None
Impaired feeding ability	None
Impaired continence	None
Hot flashes	None
Chest tightness	None
Tightness in chest	None
Tightness of chest	None
Chest distress	None
Groin pain	None
Calf muscle pain	None
Gastrocnemius myalgia	None
Calf myalgia	None
Wilson sign	None
Precordial pain	None
Fetor hepaticus	None
Foetor hepaticus	None
Erythromelalgia	None
Episodic pain	None
Breakthrough pain	None
Paroxysmal rectal pain	None
Abdominal cramps	None
Bladder pain	None
Tendon pain	None
Rigid abdomen	None
Abdominal rigidity	None
Abdominal guarding	None
Body ache	None
Throat discomfort	None
Throat pain	None
Sore throat	None
Pharyngalgia	None
Pharyngodynia	None
Cognitive fatigue	None
Central fatigue	None
Sudden unexpected death in epilepsy	None
SUDEP	None
Neuralgia	None
Acute abdomen	None
Acute abdominal pain	None
Diminished health-related quality of life	None
Decline in physical functional health	None
Diminished physical health	None
Diminished physical functioning	None
Mental impairment	None
Reduced mental health	None
Diminished mental health	None
Frailty	None
Occupational disability	None
Pain between shoulder blades	None
Intrascapular pain	None
Pleuritic chest pain	None
Malaise	None
Pain in testicles	None
Testicular pain	None
Cool skin	None
Coolness to palpation	None
Cold skin temperature	None
Cool skin temperature	None
Coldness	None
Painful breast	None
Mastalgia	None
Breast pain	None
Pain in the pelvis	None
Pelvic pain	None
Stool holding	None
Encopresis	None
Stool soiling	None
Jaw pain	None
Hand pain	None
Pain in head and neck region	None
Recurrent synchronous diaphragmatic flutter	None
Recurrent hiccough	None
Recurrent singultus	None
Hiccup	None
Hiccups	None
Recurrent hiccup	None
Tic douloureux	None
Trigeminal neuralgia	None
Chest discomfort	None
Thoracic pain	None
Chest pain	None
Gangrene	None
Death of body tissue due to lack of blood flow or infection	None
Foetor ex ore	None
Bad breath	None
Halitosis	None
Mandibular pain	None
Lower jaw pain	None
Eye pain	None
Ocular pain	None
Epigastric pain	None
Epigastrium pain	None
Fishy odor	None
Fish odour	None
Fishy body odor	None
Fishy odour	None
Fish odor	None
Fishy body odour	None
Musty odour	None
Musty odor	None
Vaginal fish odor	None
Vaginal fish odour	None
Dyspepsia	None
Indigestion	None
BO	None
Body odour	None
Osmidrosis	None
Body odor	None
Bromhidrosis	None
Bromidrosis	None
Anal pain	None
Rectal pain	None
Abnormality of body height	None
Tall stature	None
Increased body height	None
Accelerated linear growth	None
Increased linear growth	None
Delayed puberty	None
Delayed pubertal development	None
Pubertal delay	None
Delayed pubertal growth	None
Pituitary dwarfism	None
Growth issue	None
Abnormal growth	None
Growth abnormality	None
Poor weight gain	None
Undergrowth	None
Failure to thrive	None
Postnatal failure to thrive	None
Faltering weight	None
Weight faltering	None
Retarded growth	None
Growth delay	None
Growth failure	None
Poor growth	None
Growth retardation	None
Growth deficiency	None
Very poor growth	None
Delayed growth	None
Intrauterine retardation	None
Prenatal growth deficiency	None
Prenatal growth retardation	None
Intrauterine growth failure	None
Intrauterine growth restriction	None
IUGR	None
Prenatal onset growth retardation	None
Small for gestational age infant	None
Prenatal-onset growth retardation	None
Intrauterine growth retardation, IUGR	None
Intrauterine growth retardation	None
In utero growth retardation	None
Prenatal growth failure	None
Having too much body fat	None
Obesity	None
Low birth weight	None
Small for gestational age	None
Birth weight less than 10th percentile	None
Marfanoid habitus	None
Reduced upper-lower segment ratio	None
Disproportionate tall stature	None
Dolichostenomelia	None
Marfanoid body habitus	None
Birth weight > 90th percentile	None
Large for gestational age	None
Macrosomia	None
Foetal macrosomia	None
Birthweight > 90th percentile	None
Macrosomia, neonatal	None
Fetal macrosomia	None
Severe postnatal failure to thrive	None
Severe weight faltering	None
Marked failure to thrive	None
Severe failure to thrive	None
Severe faltering weight	None
Asymmetric overgrowth	None
Asymmetric limb hypertrophy	None
Hemihypertrophy	None
Mild growth deficiency	None
Postnatal onset of mild growth retardation	None
Mild postnatal growth retardation	None
Weight faltering in infancy	None
Faltering weight in infancy	None
Failure to thrive in infancy	None
Failure to thrive in first year of life	None
Thin build	None
Asthenic habitus	None
Slender build	None
Thin body habitus	None
Generalised overgrowth	None
Generalized overgrowth	None
General overgrowth	None
Overgrowth	None
Weight loss	None
Loss of weight	None
Truncal obesity	None
Centripetal obesity	None
Abdominal situs inversus	None
Situs inversus visceralis	None
Situs inversus viscerum	None
Disproportionate short stature	None
Short stature, disproportionate	None
Short stature, severe disproportionate	None
Relative short stature	None
short stature, mild	None
Mild short stature	None
Short stature, proportionate	None
Proportionate small stature	None
Proportionate short stature	None
Dwarfism	None
Proportionate dwarfism	None
Short stature, extreme	None
Severe short stature	None
Short stature, severe	None
Foetal overgrowth	None
Fetal overgrowth	None
Birth length greater than 97th percentile	None
Disproportionate short-trunked short stature	None
Disproportionate short-trunk short stature	None
Short-trunked dwarfism	None
Disproportionate short-trunked dwarfism	None
Birth length less than 3rd percentile	None
Birth length <3rd percentile	None
Birth length < 3rd percentile	None
Eunuchoid habitus	None
Height less than 3rd percentile	None
Stature below 3rd percentile	None
Short stature	None
Small stature	None
Decreased body height	None
Abnormality of body weight	None
Abnormality of habitus	None
Weight gain	None
Increased body weight	None
Weight less than 3rd percentile	None
Decreased weight	None
Low body weight	None
Low weight	None
Decreased body weight	None
Wasting syndrome	None
Cachexia	None
Rhizomelic arm shortening	None
Mesomelic/rhizomelic limb shortening	None
Rhizo-meso-acromelic limb shortening	None
Short stature, mesomelic	None
Dwarfism, short limb mesomelic	None
