Abnormality of the breast	HP:0000769
Abnormality of enteric neuron morphology	None
Prolapsed bladder	None
Dropped bladder	None
Cystocele	None
Bladder prolapse	None
Bladder hernia	None
Gallstones	None
Cholelithiasis	None
Rectourethral fistula	None
Urethrorectal fistula	None
Nasogastric tube feeding in infancy	None
Mixed cirrhosis	None
Gastrointestinal obstruction	None
GI obstruction	None
Obstruction in digestive tract	None
Abnormality of the rectum	None
Abnormal rectum morphology	None
Anomaly of the rectum	None
Inguinal hernia	None
Perforation of the colon	None
Colon perforation	None
Multiple colonic adenomatous polyps	None
Multiple adenomatous colon polyps	None
Adenomatous colonic polyposis	None
Celosomia	None
Kelosomia	None
Thoracoabdominal eventration	None
Abnormality of the pylorus	None
Esophageal squamous papilloma	None
Chronic hepatic failure	None
Chronic liver failure	None
Thoracoabdominal wall defect	None
Thoracoabdominal schisis	None
Anal canal squamous carcinoma	None
GI duplication	None
Gastrointestinal duplication	None
Esophageal atresia	None
Birth defect in which part of oesophagus did not develop	None
Birth defect in which part of esophagus did not develop	None
Diastasis recti	None
Gap between large left and right abdominal muscles	None
Small bowel diverticula	None
Increased stool urobilinogen concentration	None
Gastrointestinal stromal tumours	None
Gastrointestinal stroma tumour	None
Gastrointestinal stromal tumour	None
Gastrointestinal stromal tumors	None
GI stroma tumor	None
Gastrointestinal stroma tumor	None
Gastrointestinal stromal tumor	None
GI stroma tumour	None
GIST	None
Abnormal liver sonography	None
Abnormality of hepatobiliary system physiology	None
Aplasia of the gallbladder	None
Absent gallbladder	None
Agenesis of the gallbladder	None
Intestinal hypoperistalsis	None
Hypoperistalsis	None
Agenesis of the ductus venosus	None
Ductus venosus agenesis	None
Congenital portosystemic venous shunt	None
5-minute APGAR score of 4	None
Complete breech presentation	None
Extra-abdominal umbilical vein varix	None
Fetal posterior fossa hemorrhage	None
10-minute APGAR score of 5	None
1-minute APGAR score of 4	None
Chorangioma	None
Placental hamartoma	None
Placental thickness increased	None
Increased placental thickness	None
Extremely preterm birth	None
Increased maternal serum alpha-fetoprotein level	None
MSAFP MoM>2.5	None
High maternal circulating alpha-fetoprotein concentration	None
High MSAFP MoM	None
High maternal serum alpha-fetoprotein MoM	None
High maternal serum alpha-fetoprotein	None
Pre-eclampsia	None
Preeclampsia	None
FIUVV	None
Fetal umbilical vein dilatation	None
Fetal intra-abdominal umbilical vein varix	None
1-minute APGAR score of 1	None
Grade III fetal intracranial hemorrhage	None
Fetal intraventricular hemorrhage with ventriculomegaly	None
Fetal cerebellar vermis hemorrhage	None
Low maternal serum PAPP-A	None
Low maternal circulating PAPP-A concentration	None
Maternal health problem	None
Prenatal maternal abnormality	None
Large placenta	None
Placental enlargement	None
Caesarian section	None
Incomplete breech presentation	None
Redundant septum primum flap	None
Fetal atrial septal dilatation	None
Foramen ovale aneurysm	None
Abruptio placentae	None
Placental abruption	None
Maternal teratogenic exposure	None
Long umbilical cord	None
Abnormal insertion of umbilical cord	None
Abnormality of the fetal circulation system	None
Abnormality of the foetal cardiovascular system	None
Abnormal fetal cardiovascular morphology	None
Abnormality of the foetal circulation system	None
Abnormality of the fetal cardiovascular system	None
Abnormal amniotic fluid	None
Abnormality of the amniotic fluid	None
Increased nuchal translucency	None
Maternal autoimmune disease	None
Spontaneous abortion, recurrent	None
Recurrent spontaneous abortion	None
Therapeutic abortion	None
Vacuum-assisted vaginal delivery	None
Vacuum extraction	None
Ventouse delivery	None
Low 5-minute APGAR score	None
Low five-minute APGAR score	None
Cephalohematoma	None
Cephalohaematoma	None
Fetal ultrasound soft marker	None
Foetal ultrasound soft marker	None
Abnormality of ductus venosus blood flow	None
Underdeveloped fetal nose bone	None
Underdeveloped foetal nose bone	None
Hypoplasia of fetal nasal bone	None
Hypoplasia of foetal nasal bone	None
Female fetal virilization	None
Female foetal virilization	None
Induced vaginal delivery	None
Low APGAR score	None
Foetal cystic hygroma	None
Fetal cystic hygroma	None
Amniotic bands	None
Amniotic constriction ring	None
Pseudoainhum	None
Congenital constriction band sequence	None
Amniotic constriction band	None
Fetal hydrothorax	None
Amnion-chorion separation	None
Spontaneous chorioamniotic separation	None
Abnormal fetal cardiovascular physiology	None
Nonspecific chronic villitis	None
Villitis of unknown etiology	None
Chronic villitis	None
Chronic villitis (non-infectious)	None
Villitis of unknown aetiology	None
Maternal seizure	None
Maternal seizures	None
Reduced fetal long bone echogenicity	None
5-minute APGAR score of 0	None
Abnormal umbilical cord blood vessels	None
Abnormal umbilical cord blood vessel morphology	None
Fetal intracranial hemorrhage	None
High blood phenylalanine level in mother	None
Maternal hyperphenylalaninemia	None
Fetal anemia	None
Abnormal blood gas level in cord blood	None
Foetal little finger curvature	None
Fetal pinky finger curvature	None
Foetal fifth finger clinodactyly	None
Fetal little finger curvature	None
Foetal pinkie finger curvature	None
Fetal pinkie finger curvature	None
Foetal pinky finger curvature	None
Fetal fifth finger clinodactyly	None
Champagne cork sign	None
Fetal neck anomaly	None
Abnormality of placental membranes	None
Abnormal placental membrane morphology	None
Non-immune fetal hydrops	None
Hydrops fetalis, non-immune	None
Hydrops fetalis, nonimmune	None
Nonimmune hydrops	None
Non-immune foetal hydrops	None
Nonimmune hydrops fetalis	None
Calcified placenta	None
Placental calcification	None
Fetal vascular malperfusion	None
Fetal neck mass	None
Type 1 congenital pulmonary airway malformation	None
Hypocapnia in cord blood	None
Low cord blood carbon dioxide level	None
1-minute APGAR score of 5	None
Fetal intraventricular hemorrhage	None
Grade I fetal intracranial hemorrhage	None
Fetal subependymal hemorrhage	None
1-minute APGAR score of 0	None
Nuchal cord	None
Umbilical cord hematoma	None
Umbilical cord haematoma	None
Abnormal fetal central nervous system morphology	None
Abnormal fetal CNS morphology	None
Placental mesenchymal dysplasia	None
Hyperoxemia in cord blood	None
High cord blood oxygen level	None
Placenta increta	None
Meconium staining of amniotic fluid	None
Meconium stained amniotic fluid	None
Meconium-stained amniotic fluid	None
Abnormal fetal skin morphology	None
10-minute APGAR score of 3	None
Toxaemia of pregnancy	None
Toxemia of pregnancy	None
Hypertensive disorder of pregnancy	None
Delivery complication	None
Abnormal delivery	None
Fetal polyuria	None
Foetal polyuria	None
Abnormalities of placenta or umbilical cord	None
Amniotic constriction rings of legs	None
Short umbilical cord	None
Fetal pleural effusion	None
Short fetal humerus length	None
Short fetal long bone in upper arm length	None
Short foetal humerus length	None
Short foetal long bone in upper arm length	None
Premature rupture of membranes	None
Increased fetal lens echogenicity	None
Thickened nuchal skin	None
Thickened nuchal skin fold	None
Increased nuchal fold	None
Thickened skin folds of neck	None
Thickened skin over the neck	None
Increased nuchal fold thickness	None
Thick nuchal fold	None
Excess nuchal skin	None
Abnormal placental size	None
Delayed separation of umbilical cord	None
Delayed umbilical cord separation	None
Reduced fetal femur/foot length ratio	None
Type 3 congenital pulmonary airway malformation	None
Hydatidiform mole	None
Abnormal chorion morphology	None
Hypoplastic nasal bone	None
Fetal cerebral parenchymal hemorrhage	None
Eclampsia	None
Abnormal fetal morphology	None
Structural fetal anomaly	None
Vasa previa	None
Abnormality of the umbilical cord	None
Umbilical cord issue	None
Oligohydramnios	None
Decreased amniotic fluid index	None
Low levels of amniotic fluid	None
Maternal oligohydramnios	None
Exposure during pregnancy	None
Pregnancy exposure	None
Premature delivery because of cervical insufficiency or membrane fragility	None
1-minute APGAR score of 3	None
Formation of multiple pronuclei during fertilization	None
Preimplantation lethality	None
Preimplantation embryonic lethality	None
Abnormal umbilical blood flow measurement	None
10-minute APGAR score of 1	None
Lemon sign	None
Maternal virilization in pregnancy	None
Maternal hypertension	None
High maternal serum chorionic gonadotropin	None
High maternal serum hCG	None
High maternal circulating chorionic gonadotropin concentration	None
Premature birth following premature rupture of foetal membranes	None
Premature birth following premature rupture of fetal membranes	None
Edematous chorionic villi	None
10-minute APGAR score of 2	None
Echogenic intracardiac focus	None
Type 2 congenital pulmonary airway malformation	None
Elevated fetal middle cerebral artery peak systolic velocity	None
Increased fetal long bone echogenicity	None
Abnormal fetal genitourinary system morphology	None
Placental issue	None
Abnormal placenta morphology	None
Abnormality of the placenta	None
Enlarged foetal cisterna magna	None
Enlarged fetal cisterna magna	None
Fetal choroid plexus cysts	None
Foetal choroid plexus cysts	None
Umbilical vein varix	None
5-minute APGAR score of 1	None
5-minute APGAR score of 6	None
Maternal first trimester fever	None
Absence of fetal nasal bone	None
Unossified nasal bone	None
Absent fetal nasal bone	None
Two vessel cord	None
Single umbilical artery	None
Two vessel umbilical cord	None
Two-vessel cord	None
2 vessel umbilical cord	None
Only one artery in umbilical cord instead of two	None
2 vessel cord	None
Vaginal birth after Caesarian	None
Abnormal cord blood measurement	None
Abnormal maternal serum screening	None
Battledore placenta	None
Marginal cord insertion	None
Marginal umbilical cord insertion	None
Abnormal fetal skeletal morphology	None
Reversed end-diastolic umbilical artery flow	None
Choriocarcinoma	None
Subchorionic thrombohematoma	None
Breus' mole	None
Grade II fetal intracranial hemorrhage	None
Fetal intraventricular hemorrhage without ventriculomegaly	None
1-minute APGAR score of 6	None
Hydrops fetalis	None
Maternal thrombophilia	None
Fetal ductus arteriosus narrowing-closure	None
Fetal arterial duct narrowing-closure	None
Premature closure of the ductus arteriosus	None
Fetal PDA narrowing-closure	None
Idiopathic constriction of the fetal ductus arteriosus	None
Fetal PAD narrowing-closure	None
PCDA	None
Persistent patent ductus venosus	None
Gastric pseudomass	None
Absent end-diastolic umbilical artery flow	None
Frank breech presentation	None
Hyperemesis gravidarum	None
Moderate to late preterm birth	None
1-minute APGAR score of 2	None
Shoulder dystocia	None
Persistent fetal circulation	None
Persistent foetal circulation	None
Premature delivery	None
Shortened gestation time	None
Premature delivery of affected infants	None
Premature birth	None
Preterm birth	None
Preterm delivery	None
Very preterm birth	None
Anhydramnios	None
5-minute APGAR score of 5	None
Repeated implantation failure	None
Recurrent implantation failure	None
Prenatal double bubble sign	None
gestational diabetes	None
maternal hyperglycemia	None
Maternal diabetes	None
Abnormal placental adhesion into the uterine wall	None
Decreased middle cerebral artery pulsatility index	None
Low maternal serum hCG	None
Low maternal serum chorionic gonadotropin	None
Low maternal circulating chorionic gonadotropin concentration	None
Fetal nuchal edema	None
Low maternal circulating estriol concentration	None
Low maternal serum estriol	None
Furcate cord insertion	None
Abnormal preimplantation embryonic development	None
Single-twin demise	None
Intrauterine fetal demise of one twin after midgestation	None
Intrauterine foetal demise of one twin after midgestation	None
5-minute APGAR score of 3	None
Meconium pseudocyst	None
Fetal head anomaly	None
Low 10-minute APGAR score	None
Subchorionic septal cyst	None
Fetal lower urinary tract obstruction	None
10-minute APGAR score of 6	None
Maternal anticardiolipin antibody positive	None
Bilateral fetal pyelectasis	None
Bilateral foetal pyelectasia	None
Bilateral foetal pyelectasis	None
Bilateral fetal pyelectasia	None
10-minute APGAR score of 0	None
Primary Caesarian section	None
Abnormal fetal long-bone echogenicity	None
Placental infarction	None
Placental thromboembolism	None
Intrapartum fever	None
Maternal fever during labour	None
Maternal fever during labor	None
Umbilical cord knot	None
Skewed maternal X inactivation	None
Delivery by Odon device	None
Early severe fetal akinesia sequence	None
Early severe foetal akinesia sequence	None
Foetal akinesia	None
Fetal akinesia sequence	None
Fetal akinesia	None
Foetal akinesia sequence	None
Four-vessel umbilical cord	None
Foetal ascites	None
Fetal ascites	None
Ectopic pregnancy	None
Zygotic cleavage failure	None
Failure of zygotic cell division	None
Foetal hyperkinesia	None
Fetal hyperkinesia	None
Increased foetal movement	None
Increased fetal movement	None
10-minute APGAR score of 4	None
Abnormal fetal pulmonary morphology	None
Congenital pulmonary airway malformation	None
Congenital cystic disease of the lung	None
Congenital cystic adenomatoid malformation of the lung	None
Cystic adenomatoid lung disease	None
CCAM	None
Absent lanugo	None
Foetal renal pelvic dilatation	None
Mild foetal hydronephrosis	None
Fetal pyelectasis	None
Foetal pyelectasis	None
Fetal renal pelvic dilatation	None
Mild fetal hydronephrosis	None
Abnormal intrauterine movements	None
Prenatal movement abnormality	None
Fetal chylothorax	None
Secondary Caesarian section	None
Caseous vernix-like desquamation	None
Greasy, thick vernix caseosa-like scale	None
Subcutaneous nodule	None
Subcutaneous nodules	None
Multiple, subcutaneous nodules	None
Growth of abnormal tissue under the skin	None
Nodule below the skin	None
Firm lump under the skin	None
Prominent digit pad	None
Atypical neurofibromatosis	None
Polymorphic vesicular eruption	None
Aplasia cutis congenita of midline scalp vertex	None
Fracture blister	None
Plantar pits	None
