Pneumomediastinum	HP:0025421
Umbilical cord knot	None
Small placenta	None
Feet or buttocks of foetus positioned near opening of uterus	None
Feet or buttocks of fetus positioned near opening of uterus	None
Breech presentation at birth	None
Breech presentation	None
Grade II fetal intracranial hemorrhage	None
Fetal intraventricular hemorrhage without ventriculomegaly	None
Abnormal placental adhesion into the uterine wall	None
Mild foetal ventriculomegaly	None
Mild fetal ventriculomegaly	None
Extra-abdominal umbilical vein varix	None
Eclampsia	None
Abruptio placentae	None
Placental abruption	None
Abnormality of the fetal circulation system	None
Abnormality of the foetal cardiovascular system	None
Abnormal fetal cardiovascular morphology	None
Abnormality of the foetal circulation system	None
Abnormality of the fetal cardiovascular system	None
Abnormal umbilical artery doppler waveform during pregnancy	None
Foetal renal pelvic dilatation	None
Mild foetal hydronephrosis	None
Fetal pyelectasis	None
Foetal pyelectasis	None
Fetal renal pelvic dilatation	None
Mild fetal hydronephrosis	None
Fetal vascular malperfusion	None
Abnormal insertion of umbilical cord	None
Abnormal cord blood measurement	None
Foetal hypokinesia	None
Reduced foetal movements	None
Dminished fetal movement	None
Decreased foetal movement	None
Reduced fetal movement	None
Decreased foetal activity	None
Reduced fetal movements	None
Decreased foetal movements	None
Decreased movement in utero	None
Decreased fetal activity	None
Fetal hypokinesia	None
Less than 10 fetal movements in 12 hours	None
Less than 10 foetal movements in 12 hours	None
Decreased fetal movements	None
Decreased fetal movement	None
Reduced foetal movement	None
Elevated fetal middle cerebral artery peak systolic velocity	None
Persistent patent ductus venosus	None
Increased fetal lens echogenicity	None
1-minute APGAR score of 6	None
Foetal ascites	None
Fetal ascites	None
Absent lanugo	None
1-minute APGAR score of 5	None
Calcified placenta	None
Placental calcification	None
Abnormal embryonic development	None
Reduced fetal femur/foot length ratio	None
Short fetal humerus length	None
Short fetal long bone in upper arm length	None
Short foetal humerus length	None
Short foetal long bone in upper arm length	None
Ectopic pregnancy	None
Maternal fever during pregnancy	None
Maternal fever in pregnancy	None
Echogenic intracardiac focus	None
Placental thickness increased	None
Increased placental thickness	None
Congenital portosystemic venous shunt	None
Low 1-minute APGAR score	None
Low one-minute APGAR score	None
Fetal skin edema	None
Repeated implantation failure	None
Recurrent implantation failure	None
Large placenta	None
Placental enlargement	None
Postterm pregnancy	None
Chorangioma	None
Placental hamartoma	None
Fetal extra-axial hemorrhage	None
1-minute APGAR score of 4	None
Extremely preterm birth	None
Fetal anomaly	None
Hypocapnia in cord blood	None
Low cord blood carbon dioxide level	None
Abnormal amniotic fluid	None
Abnormality of the amniotic fluid	None
Maternal first trimester fever	None
10-minute APGAR score of 0	None
Fetal polyuria	None
Foetal polyuria	None
Abnormal intrauterine movements	None
Prenatal movement abnormality	None
Furcate cord insertion	None
Fetal ductus arteriosus narrowing-closure	None
Fetal arterial duct narrowing-closure	None
Premature closure of the ductus arteriosus	None
Fetal PDA narrowing-closure	None
Idiopathic constriction of the fetal ductus arteriosus	None
Fetal PAD narrowing-closure	None
PCDA	None
Type 2 congenital pulmonary airway malformation	None
Subchorionic septal cyst	None
Amniotic constriction rings of legs	None
Edematous chorionic villi	None
Fetal lower urinary tract obstruction	None
Umbilical cord cyst	None
Low maternal serum PAPP-A	None
Low maternal circulating PAPP-A concentration	None
Fetal neck mass	None
Persistent fetal circulation	None
Persistent foetal circulation	None
Vaginal birth after Caesarian	None
10-minute APGAR score of 2	None
Hyperemesis gravidarum	None
Abnormality of the umbilical cord	None
Umbilical cord issue	None
Elevated umbilical artery pulsatility	None
Increased umbilical artery pulsatility index	None
Elevated umbilical artery Dopplers	None
Redundant septum primum flap	None
Fetal atrial septal dilatation	None
Foramen ovale aneurysm	None
Low maternal circulating estriol concentration	None
Low maternal serum estriol	None
5-minute APGAR score of 4	None
Vasa previa	None
Skewed maternal X inactivation	None
Zygotic cleavage failure	None
Failure of zygotic cell division	None
Fetal cerebellar hemisphere hemorrhage	None
Abnormal fetal pulmonary morphology	None
Fetal intracranial hemorrhage	None
5-minute APGAR score of 0	None
10-minute APGAR score of 1	None
Therapeutic abortion	None
Fetal scalp mass	None
Abnormal umbilical cord blood vessels	None
Abnormal umbilical cord blood vessel morphology	None
Amnion-chorion separation	None
Spontaneous chorioamniotic separation	None
Complete breech presentation	None
10-minute APGAR score of 6	None
5-minute APGAR score of 1	None
5-minute APGAR score of 5	None
Absent end-diastolic umbilical artery flow	None
Incomplete breech presentation	None
1-minute APGAR score of 2	None
Delivery by Odon device	None
Choriocarcinoma	None
Abnormal fetal cardiovascular physiology	None
Velamentous cord insertion	None
Non-immune fetal hydrops	None
Hydrops fetalis, non-immune	None
Hydrops fetalis, nonimmune	None
Nonimmune hydrops	None
Non-immune foetal hydrops	None
Nonimmune hydrops fetalis	None
1-minute APGAR score of 0	None
Amniotic Sheet	None
Amniotic shelf	None
Fetal hydrothorax	None
Premature birth following premature rupture of foetal membranes	None
Premature birth following premature rupture of fetal membranes	None
Hydatidiform mole	None
Abnormal chorion morphology	None
Nuchal cord	None
10-minute APGAR score of 4	None
Hydrops fetalis	None
Premature delivery because of cervical insufficiency or membrane fragility	None
Increased fetal long bone echogenicity	None
Nonspecific chronic villitis	None
Villitis of unknown etiology	None
Chronic villitis	None
Chronic villitis (non-infectious)	None
Villitis of unknown aetiology	None
Maternal hypertension	None
Premature rupture of membranes	None
Fetal choroid plexus cysts	None
Foetal choroid plexus cysts	None
Abnormal preimplantation embryonic development	None
Abnormality of umbilical vein blood flow	None
Maternal autoimmune disease	None
Bilateral fetal pyelectasis	None
Bilateral foetal pyelectasia	None
Bilateral foetal pyelectasis	None
Bilateral fetal pyelectasia	None
Secondary Caesarian section	None
Very preterm birth	None
Cephalohematoma	None
Cephalohaematoma	None
Subchorionic thrombohematoma	None
Breus' mole	None
Abnormal blood gas level in cord blood	None
FIUVV	None
Fetal umbilical vein dilatation	None
Fetal intra-abdominal umbilical vein varix	None
Maternal anticardiolipin antibody positive	None
Abnormality of ductus venosus blood flow	None
Delayed separation of umbilical cord	None
Delayed umbilical cord separation	None
Fetal cerebellar vermis hemorrhage	None
Maternal virilization in pregnancy	None
Foetal little finger curvature	None
Fetal pinky finger curvature	None
Foetal fifth finger clinodactyly	None
Fetal little finger curvature	None
Foetal pinkie finger curvature	None
Fetal pinkie finger curvature	None
Foetal pinky finger curvature	None
Fetal fifth finger clinodactyly	None
1-minute APGAR score of 1	None
Enlarged foetal cisterna magna	None
Enlarged fetal cisterna magna	None
Short fetal femur length	None
Short foetal femur length	None
Short fetal thigh bone length	None
Short foetal thigh bone length	None
Forceps delivery	None
Maternal health problem	None
Prenatal maternal abnormality	None
Placental mesenchymal dysplasia	None
Placental issue	None
Abnormal placenta morphology	None
Abnormality of the placenta	None
Hydrops of the placenta	None
Hydropic placenta	None
Placenta increta	None
High blood phenylalanine level in mother	None
Maternal hyperphenylalaninemia	None
Female fetal virilization	None
Female foetal virilization	None
Placenta percreta	None
Abnormal placental pentration beyond the uterine wall	None
Caesarian section	None
Abnormal fetal nasal bone visualization	None
Fetal posterior fossa hemorrhage	None
Fetal intraventricular hemorrhage	None
Distended jugular lymphatic sacs	None
Early severe fetal akinesia sequence	None
Early severe foetal akinesia sequence	None
Foetal akinesia	None
Fetal akinesia sequence	None
Fetal akinesia	None
Foetal akinesia sequence	None
Abnormal placental size	None
Fetal neck anomaly	None
Fetal head anomaly	None
Four-vessel umbilical cord	None
Increased maternal serum alpha-fetoprotein level	None
MSAFP MoM>2.5	None
High maternal circulating alpha-fetoprotein concentration	None
High MSAFP MoM	None
High maternal serum alpha-fetoprotein MoM	None
High maternal serum alpha-fetoprotein	None
Fetal cerebral parenchymal hemorrhage	None
Umbilical vein varix	None
Toxaemia of pregnancy	None
Toxemia of pregnancy	None
Hypertensive disorder of pregnancy	None
10-minute APGAR score of 3	None
Foetal cystic hygroma	None
Fetal cystic hygroma	None
Maternal seizure	None
Maternal seizures	None
Abnormal fetal skeletal morphology	None
Fetal pericardial effusion	None
Foetal hyperkinesia	None
Fetal hyperkinesia	None
Increased foetal movement	None
Increased fetal movement	None
Low 5-minute APGAR score	None
Low five-minute APGAR score	None
Fetal anemia	None
Abnormal CO2 level in cord blood	None
Abnormal umbilical cord blood levels of carbon dioxide	None
Abnormal carbon dioxide level in cord blood	None
5-minute APGAR score of 3	None
Lemon sign	None
Hyperoxemia in cord blood	None
High cord blood oxygen level	None
Battledore placenta	None
Marginal cord insertion	None
Marginal umbilical cord insertion	None
Abnormal fetal long-bone echogenicity	None
Type 3 congenital pulmonary airway malformation	None
Umbilical cord hematoma	None
Umbilical cord haematoma	None
High levels of amniotic fluid	None
Hydramnios	None
Polyhydramnios	None
Increased amniotic fluid index	None
Maternal vascular malperfusion	None
Type 1 congenital pulmonary airway malformation	None
Abnormality of placental membranes	None
Abnormal placental membrane morphology	None
Grade III fetal intracranial hemorrhage	None
Fetal intraventricular hemorrhage with ventriculomegaly	None
Increased nuchal translucency	None
Abnormal fetal morphology	None
Structural fetal anomaly	None
Single-twin demise	None
Intrauterine fetal demise of one twin after midgestation	None
Intrauterine foetal demise of one twin after midgestation	None
gestational diabetes	None
maternal hyperglycemia	None
Maternal diabetes	None
Hypoplastic nasal bone	None
5-minute APGAR score of 6	None
Grade IV fetal intracranial hemorrhage	None
Fetal intraventricular hemorrhage with periventricular hemorrhage	None
Reduced fetal long bone echogenicity	None
Shoulder dystocia	None
Abnormal fetal skin morphology	None
Reversed end-diastolic umbilical artery flow	None
Abnormalities of placenta or umbilical cord	None
Abnormal fetal physiology	None
Functional fetal anomaly	None
Long eyelashes in irregular rows	None
Frontal hirsutism	None
Hirsute forehead	None
Hairy forehead	None
Spontaneous hematomas	None
Basal cell hamartoma with follicular differentiation	None
Follicular infundibulum tumour	None
Follicular infundibulum tumor	None
Broad lateral eyebrow	None
Wide lateral eyebrow	None
Skin abnormality	None
Dermopathy	None
Abnormality of the skin	None
Dermatopathy	None
Parungual fibromas	None
Koenen tumour	None
Koenen's tumor	None
Koenen's tumour	None
Koenen tumor	None
Periungual fibroma	None
Ungual fibroma	None
Mole	None
Nevi	None
Naevi	None
Naevus	None
Nevus	None
Eyelashes fell out	None
Milphosis	None
Ciliary Madarosis	None
Loss of eyelashes	None
Missing eyelashes	None
Solar urticaria	None
Skin tag on the posterior cheek	None
Preauricular tag	None
Periauricular skin tag	None
Skin tag in front of the ear	None
Preauricular tags	None
Ear tag	None
Preauricular acrochordon	None
Preauricular skin tags	None
Preauricular skin tag	None
Preauricular fibroepithelial polyp	None
Urticaria	None
Hives	None
Conjunctival telangiectases	None
Small dilated blood vessels near membrane covering front of eye and eyelids	None
Conjunctival telangiectasia	None
Telangiectasia, conjunctival	None
Predominantly dermal neutrophilic infiltrate	None
Proximal scleroderma	None
Palmoplantar blistering	None
Leukonychia	None
White discoloration of nails	None
Thickened elastic fibers in the dermis	None
Thickened elastic fibres in the dermis	None
Unusually long eyelashes	None
Ciliary trichomegaly	None
Increased length of eyelashes	None
Long eyelashes	None
Eyelash trichomegaly	None
Pigmented nevi	None
Melanocytic nevi	None
Noncancerous mole	None
Pigmented naevi	None
Nevocellular nevi	None
Beauty mark	None
Melanocytic naevus	None
Melanocytic nevus	None
Wrinkled skin	None
Premature skin wrinkling	None
Streaks of hyperkeratosis along each finger onto the palm	None
Extra rows of eyelashes	None
Two rows of eyelashes	None
Multiple rows of eyelashes	None
Double row of eyelashes	None
Aplasia/Hypoplasia of the skin	None
Absent/small skin	None
Absent/underdeveloped skin	None
Prominent scalp veins	None
Abnormality of lower eyelashes	None
Nevus roseus	None
Tendon xanthomatosis	None
Tendon xanthomas	None
White scaling skin	None
White scaly skin	None
Dermatomegaly	None
Elastolysis	None
Generalized elastolysis	None
Skin laxity	None
Cutaneous laxity	None
Inelastic skin	None
Cutis laxa	None
Dermatochalasia	None
Generalised elastolysis	None
Chalazoderma	None
Hanging skin	None
Loose skin	None
Loose and inelastic skin	None
Lax skin	None
Hypoelastic skin	None
Cutaneous melanoma	None
Shawl sign	None
Thick eyelashes	None
Prominent eyelashes	None
